chr	start	end	Annotation
chr1	3580089	3586048	intron.(NM_001204187,.intron.1.of.11)
chr1	3588587	3591882	intron.(NM_001204187,.intron.1.of.11)
chr1	3592523	3592699	intron.(NM_001204187,.intron.1.of.11)
chr1	3592757	3594455	intron.(NM_001204187,.intron.1.of.11)
chr1	3662628	3664635	promoter-TSS.(NR_033712)
chr1	3711441	3713848	exon.(NM_020710,.exon.1.of.7)
chr1	4086293	4089181	Intergenic
chr1	4107058	4107572	Intergenic
chr1	4541853	4542093	Intergenic
chr1	4659624	4667823	Intergenic
chr1	4682425	4682622	Intergenic
chr1	4712460	4713659	Intergenic
chr1	4714025	4716723	5'.UTR.(NM_018836,.exon.1.of.6)
chr1	4717990	4720478	intron.(NM_001042478,.intron.1.of.5)
chr1	4722676	4723088	intron.(NM_001042478,.intron.1.of.5)
chr1	4730249	4730589	intron.(NM_001042478,.intron.1.of.5)
chr1	4731440	4738647	intron.(NM_001042478,.intron.1.of.5)
chr1	4740101	4740601	intron.(NM_001042478,.intron.1.of.5)
chr1	4742252	4742673	intron.(NM_001042478,.intron.1.of.5)
chr1	4743969	4744337	intron.(NM_001042478,.intron.1.of.5)
chr1	4754687	4754895	intron.(NM_001042478,.intron.1.of.5)
chr1	4770101	4770436	intron.(NM_001042478,.intron.1.of.5)
chr1	4773873	4774106	intron.(NM_001042478,.intron.2.of.5)
chr1	4801057	4801236	intron.(NM_001042478,.intron.2.of.5)
chr1	4805960	4806108	intron.(NM_001042478,.intron.2.of.5)
chr1	4814465	4814790	intron.(NM_001042478,.intron.2.of.5)
chr1	4833633	4834172	intron.(NM_001042478,.intron.4.of.5)
chr1	4889454	4889710	Intergenic
chr1	5773514	5773858	Intergenic
chr1	6320245	6320409	intron.(NM_207370,.intron.1.of.5)
chr1	6320791	6320976	intron.(NM_207370,.intron.1.of.5)
chr1	6838782	6840401	Intergenic
chr1	6947843	6949808	TTS.(NM_001242701)
chr1	7609108	7609457	intron.(NM_015215,.intron.6.of.22)
chr1	7764208	7764588	intron.(NM_015215,.intron.11.of.22)
chr1	7764611	7765418	intron.(NM_015215,.intron.11.of.22)
chr1	7842416	7845862	promoter-TSS.(NM_001289863)
chr1	7887157	7887647	exon.(NM_001289863,.exon.18.of.23)
chr1	8053763	8054257	Intergenic
chr1	8054535	8054841	Intergenic
chr1	8156948	8157638	Intergenic
chr1	8157741	8158098	Intergenic
chr1	8343072	8344095	Intergenic
chr1	8464984	8465197	intron.(NM_012102,.intron.13.of.23)
chr1	8475609	8475943	intron.(NM_012102,.intron.13.of.23)
chr1	8516461	8524479	intron.(NM_012102,.intron.12.of.23)
chr1	8524909	8525059	intron.(NM_012102,.intron.12.of.23)
chr1	8611794	8612024	intron.(NM_012102,.intron.7.of.23)
chr1	8646776	8652848	intron.(NM_012102,.intron.5.of.23)
chr1	8738998	8743445	intron.(NM_001042681,.intron.1.of.22)
chr1	8888651	8890729	Intergenic
chr1	9047395	9047599	Intergenic
chr1	9067263	9071473	intron.(NM_207420,.intron.9.of.11)
chr1	9096277	9098483	3'.UTR.(NM_003039,.exon.12.of.12)
chr1	9103437	9103696	intron.(NM_003039,.intron.4.of.11)
chr1	9104304	9104683	intron.(NM_003039,.intron.4.of.11)
chr1	9119509	9120598	intron.(NM_003039,.intron.1.of.11)
chr1	9121334	9123843	intron.(NM_003039,.intron.1.of.11)
chr1	9123994	9124957	intron.(NM_003039,.intron.1.of.11)
chr1	9125515	9125893	intron.(NM_003039,.intron.1.of.11)
chr1	9126782	9128057	intron.(NM_003039,.intron.1.of.11)
chr1	9128204	9131048	5'.UTR.(NM_001135585,.exon.1.of.5)
chr1	9134410	9137549	Intergenic
chr1	9137604	9142407	Intergenic
chr1	9171013	9172982	intron.(NM_024980,.intron.1.of.3)
chr1	9187906	9190834	promoter-TSS.(NM_024980)
chr1	9205663	9205893	Intergenic
chr1	9215490	9215801	intron.(NR_132742,.intron.1.of.1)
chr1	9221905	9226456	intron.(NR_132742,.intron.1.of.1)
chr1	9238958	9239553	intron.(NR_132742,.intron.1.of.1)
chr1	9239761	9240301	intron.(NR_132742,.intron.1.of.1)
chr1	9240349	9240513	intron.(NR_132742,.intron.1.of.1)
chr1	9240752	9240979	intron.(NR_132742,.intron.1.of.1)
chr1	9241115	9243296	promoter-TSS.(NR_132738)
chr1	9335190	9335686	Intergenic
chr1	9335706	9336419	Intergenic
chr1	9350428	9350592	Intergenic
chr1	9352228	9355141	intron.(NM_025106,.intron.1.of.2)
chr1	9355388	9355731	intron.(NM_025106,.intron.1.of.2)
chr1	9374800	9378843	intron.(NM_025106,.intron.1.of.2)
chr1	9379388	9380229	intron.(NM_025106,.intron.1.of.2)
chr1	9380364	9380797	intron.(NM_025106,.intron.1.of.2)
chr1	9405352	9405607	intron.(NM_025106,.intron.1.of.2)
chr1	9460225	9460449	Intergenic
chr1	9460647	9461071	Intergenic
chr1	9465731	9466902	Intergenic
chr1	9466909	9467303	Intergenic
chr1	9471013	9471462	Intergenic
chr1	9472399	9474327	Intergenic
chr1	9475918	9476077	Intergenic
chr1	9476208	9476410	Intergenic
chr1	9477299	9477484	Intergenic
chr1	9478796	9479424	Intergenic
chr1	9479607	9480778	Intergenic
chr1	9480794	9482049	Intergenic
chr1	9482722	9487906	non-coding.(NR_104623,.exon.2.of.2)
chr1	9487924	9489914	promoter-TSS.(NR_104623)
chr1	9648182	9650410	intron.(NM_001010866,.intron.1.of.5)
chr1	9711314	9713394	TTS.(NR_027045)
chr1	9714143	9714460	non-coding.(NR_027045,.exon.1.of.2)
chr1	9714597	9714756	promoter-TSS.(NR_027045)
chr1	9714758	9715121	promoter-TSS.(NR_027045)
chr1	9715713	9715868	intron.(NM_005026,.intron.1.of.23)
chr1	9859464	9861270	intron.(NM_001302883,.intron.1.of.17)
chr1	9909407	9911109	3'.UTR.(NM_001012329,.exon.5.of.5)
chr1	9952602	9954847	intron.(NM_020248,.intron.1.of.5)
chr1	10229017	10229214	intron.(NM_006048,.intron.23.of.26)
chr1	10229227	10230516	intron.(NM_006048,.intron.23.of.26)
chr1	10233670	10234220	intron.(NM_006048,.intron.24.of.26)
chr1	10249303	10250204	Intergenic
chr1	10250307	10250775	Intergenic
chr1	10531132	10534100	promoter-TSS.(NM_004401)
chr1	10558042	10559155	intron.(NM_004565,.intron.2.of.8)
chr1	10674434	10675556	intron.(NM_004565,.intron.4.of.8)
chr1	10675920	10676283	intron.(NM_004565,.intron.4.of.8)
chr1	11025021	11030169	intron.(NM_001170754,.intron.3.of.12)
chr1	11045484	11046369	Intergenic
chr1	11117799	11121844	intron.(NM_003132,.intron.1.of.7)
chr1	11332487	11334872	exon.(NM_013319,.exon.1.of.2)
chr1	11538755	11539675	promoter-TSS.(NM_020780)
chr1	11582677	11583000	intron.(NM_020780,.intron.10.of.20)
chr1	11779120	11780164	exon.(NM_198545,.exon.7.of.7)
chr1	11812711	11813162	Intergenic
chr1	11874086	11876783	intron.(NM_001256959,.intron.2.of.21)
chr1	11983796	11987476	exon.(NM_138346,.exon.1.of.3)
chr1	11993664	11995942	promoter-TSS.(NM_000302)
chr1	12099367	12101566	Intergenic
chr1	12111770	12113248	Intergenic
chr1	12138809	12140043	intron.(NM_001281430,.intron.1.of.13)
chr1	12211017	12211243	Intergenic
chr1	12211463	12211750	Intergenic
chr1	12211795	12212323	Intergenic
chr1	12212431	12214059	Intergenic
chr1	12217906	12218174	Intergenic
chr1	12218277	12218779	Intergenic
chr1	12221436	12222868	Intergenic
chr1	12226712	12228178	TTS.(NR_107000)
chr1	12228195	12228397	intron.(NM_001066,.intron.1.of.9)
chr1	12231628	12231796	intron.(NM_001066,.intron.1.of.9)
chr1	12232950	12233121	intron.(NM_001066,.intron.1.of.9)
chr1	12233302	12233865	intron.(NM_001066,.intron.1.of.9)
chr1	12348930	12349118	intron.(NM_015378,.intron.22.of.69)
chr1	12430617	12431972	intron.(NM_015378,.intron.54.of.69)
chr1	12532840	12533417	intron.(NM_015378,.intron.67.of.69)
chr1	12533481	12533887	intron.(NM_015378,.intron.67.of.69)
chr1	13993396	13995359	Intergenic
chr1	14079355	14081985	intron.(NM_001135610,.intron.6.of.7)
chr1	14083350	14084445	intron.(NM_001135610,.intron.6.of.7)
chr1	14237129	14240844	Intergenic
chr1	15498364	15510015	intron.(NM_018022,.intron.1.of.2)
chr1	15514528	15514903	intron.(NM_018022,.intron.1.of.2)
chr1	15514922	15515149	intron.(NM_018022,.intron.1.of.2)
chr1	15726696	15727831	Intergenic
chr1	15741920	15744129	intron.(NM_024329,.intron.1.of.3)
chr1	15745473	15745691	intron.(NM_024329,.intron.1.of.3)
chr1	15750639	15750992	intron.(NM_024329,.intron.1.of.3)
chr1	15781866	15783425	promoter-TSS.(NM_033440)
chr1	15890628	15890885	intron.(NR_109898,.intron.10.of.14)
chr1	15896192	15896341	non-coding.(NR_109898,.exon.15.of.15)
chr1	15904629	15907821	intron.(NM_024758,.intron.3.of.6)
chr1	15952725	15955355	intron.(NM_032341,.intron.2.of.9)
chr1	16072081	16073881	intron.(NM_001013641,.intron.4.of.5)
chr1	16267780	16267968	TTS.(NM_001287604)
chr1	16289590	16293408	intron.(NM_003443,.intron.2.of.15)
chr1	16293677	16293832	intron.(NM_003443,.intron.2.of.15)
chr1	16300585	16303572	intron.(NM_003443,.intron.1.of.15)
chr1	16343056	16343258	intron.(NM_014424,.intron.2.of.2)
chr1	16405159	16406187	Intergenic
chr1	16542378	16545082	Intergenic
chr1	16573410	16576980	3'.UTR.(NM_018994,.exon.10.of.10)
chr1	16713265	16714998	intron.(NR_073501,.intron.2.of.4)
chr1	16715137	16715446	intron.(NR_073501,.intron.2.of.4)
chr1	16717789	16718938	intron.(NM_001271869,.intron.2.of.3)
chr1	16824335	16826859	Intergenic
chr1	16832164	16833863	Intergenic
chr1	16860512	16862216	Intergenic
chr1	16965611	16966197	Intergenic
chr1	17345673	17345942	intron.(NM_003000,.intron.7.of.7)
chr1	17373885	17374079	intron.(NM_003000,.intron.1.of.7)
chr1	17467413	17468897	Intergenic
chr1	17682537	17683532	intron.(NM_012387,.intron.13.of.15)
chr1	17757939	17759289	intron.(NM_018715,.intron.2.of.12)
chr1	17759902	17760957	intron.(NM_018715,.intron.2.of.12)
chr1	17956660	17956997	intron.(NM_001011722,.intron.13.of.26)
chr1	18017488	18017689	intron.(NM_001011722,.intron.25.of.26)
chr1	19119945	19121592	Intergenic
chr1	19234929	19235090	3'.UTR.(NM_001136265,.exon.9.of.9)
chr1	19270328	19270596	intron.(NM_001136265,.intron.1.of.8)
chr1	19270664	19271413	intron.(NM_001136265,.intron.1.of.8)
chr1	19518524	19518991	exon.(NM_020765,.exon.11.of.106)
chr1	19765301	19767220	intron.(NM_001206540,.intron.1.of.9)
chr1	19801856	19805903	intron.(NM_001206541,.intron.1.of.8)
chr1	19971085	19971261	promoter-TSS.(NM_001204085)
chr1	20085961	20086136	intron.(NM_181719,.intron.6.of.15)
chr1	20111859	20115094	intron.(NM_181719,.intron.3.of.15)
chr1	20287089	20287863	Intergenic
chr1	20445419	20446214	intron.(NM_012400,.intron.1.of.3)
chr1	20446240	20446779	promoter-TSS.(NM_001271814)
chr1	20517811	20518131	3'.UTR.(NM_152376,.exon.2.of.2)
chr1	20959102	20962070	TTS.(NR_106732)
chr1	21075042	21075364	intron.(NM_016287,.intron.10.of.12)
chr1	21192156	21194781	intron.(NM_003760,.intron.15.of.31)
chr1	21763411	21763697	Intergenic
chr1	21765898	21767410	promoter-TSS.(NR_046176)
chr1	21843876	21846437	intron.(NM_001127501,.intron.1.of.10)
chr1	21870984	21871823	intron.(NM_001127501,.intron.1.of.10)
chr1	22067657	22067863	intron.(NM_032236,.intron.8.of.26)
chr1	22097133	22097406	intron.(NM_032236,.intron.1.of.26)
chr1	22098767	22101487	intron.(NM_032236,.intron.1.of.26)
chr1	22123674	22125853	Intergenic
chr1	22178431	22179889	intron.(NM_001291860,.intron.52.of.96)
chr1	22186534	22186721	intron.(NM_001291860,.intron.40.of.96)
chr1	22200117	22200494	intron.(NM_001291860,.intron.29.of.96)
chr1	22259477	22261407	intron.(NM_001291860,.intron.1.of.96)
chr1	22374476	22374733	Intergenic
chr1	22374823	22375833	Intergenic
chr1	22393058	22395262	intron.(NM_001791,.intron.1.of.5)
chr1	22400520	22403644	intron.(NM_001039802,.intron.2.of.6)
chr1	22463006	22465000	intron.(NM_030761,.intron.1.of.4)
chr1	22492644	22492850	Intergenic
chr1	22510938	22513169	Intergenic
chr1	22819851	22823943	intron.(NM_014870,.intron.3.of.17)
chr1	22830382	22830670	intron.(NM_014870,.intron.5.of.17)
chr1	22833736	22836517	exon.(NM_001083621,.exon.9.of.19)
chr1	22848219	22848389	intron.(NM_014870,.intron.15.of.17)
chr1	23181532	23181706	intron.(NM_001309192,.intron.3.of.13)
chr1	23357915	23360525	intron.(NM_015013,.intron.2.of.18)
chr1	23493586	23495681	intron.(NM_033631,.intron.1.of.4)
chr1	23504117	23504602	Intergenic
chr1	23553116	23553351	Intergenic
chr1	23750550	23750795	intron.(NM_003196,.intron.1.of.10)
chr1	23809847	23811278	exon.(NM_017707,.exon.1.of.25)
chr1	23840633	23840889	intron.(NM_004091,.intron.6.of.6)
chr1	23847502	23847764	promoter-TSS.(NR_110799)
chr1	23848631	23848841	intron.(NM_004091,.intron.2.of.6)
chr1	23849182	23859051	non-coding.(NR_110799,.exon.3.of.3)
chr1	23859084	23861131	Intergenic
chr1	23864210	23864503	Intergenic
chr1	23865563	23866913	Intergenic
chr1	23878013	23878582	Intergenic
chr1	23883691	23887006	intron.(NM_002167,.intron.2.of.2)
chr1	23888518	23888858	Intergenic
chr1	24062853	24063104	Intergenic
chr1	24063498	24064877	Intergenic
chr1	24161377	24161615	Intergenic
chr1	24165043	24165193	Intergenic
chr1	24196237	24196486	Intergenic
chr1	24213673	24213902	intron.(NM_001841,.intron.1.of.1)
chr1	24213916	24214061	intron.(NM_001841,.intron.1.of.1)
chr1	24214283	24216577	intron.(NM_001841,.intron.1.of.1)
chr1	24229395	24229710	intron.(NM_001841,.intron.1.of.1)
chr1	24233475	24234439	intron.(NM_001841,.intron.1.of.1)
chr1	24234958	24238047	intron.(NM_001841,.intron.1.of.1)
chr1	24238162	24238318	intron.(NM_001841,.intron.1.of.1)
chr1	24238347	24240846	intron.(NM_001841,.intron.1.of.1)
chr1	24468145	24470193	intron.(NM_021258,.intron.1.of.6)
chr1	24475947	24480466	Intergenic
chr1	24691482	24691789	TTS.(NM_198174)
chr1	24698300	24701757	intron.(NM_001199012,.intron.6.of.8)
chr1	24745423	24745644	intron.(NM_020448,.intron.1.of.11)
chr1	24883868	24885190	intron.(NM_001010980,.intron.1.of.3)
chr1	24976535	24976863	intron.(NM_001303448,.intron.5.of.17)
chr1	25192796	25193710	Intergenic
chr1	25258392	25260135	intron.(NM_001031680,.intron.1.of.5)
chr1	25273188	25275351	intron.(NM_001031680,.intron.1.of.5)
chr1	25276134	25276521	intron.(NM_001031680,.intron.1.of.5)
chr1	25278510	25285430	intron.(NM_001031680,.intron.1.of.5)
chr1	25288464	25293746	5'.UTR.(NM_001031680,.exon.1.of.6)
chr1	25343726	25364942	Intergenic
chr1	25760943	25763596	intron.(NM_018202,.intron.1.of.10)
chr1	25934014	25934243	Intergenic
chr1	25934405	25934596	Intergenic
chr1	26097089	26099081	intron.(NM_020379,.intron.7.of.11)
chr1	26185220	26187330	promoter-TSS.(NM_024037)
chr1	26230919	26233340	TTS.(NR_037481)
chr1	26260219	26260467	Intergenic
chr1	26297556	26298034	intron.(NM_000437,.intron.10.of.10)
chr1	26298062	26298351	intron.(NM_000437,.intron.10.of.10)
chr1	26503582	26507807	intron.(NM_006314,.intron.1.of.20)
chr1	26613130	26613360	intron.(NM_001077262,.intron.4.of.10)
chr1	26613414	26617895	intron.(NM_001077262,.intron.4.of.10)
chr1	26642119	26642356	intron.(NM_145345,.intron.1.of.14)
chr1	26642392	26642587	intron.(NM_145345,.intron.1.of.14)
chr1	26642600	26643050	intron.(NM_145345,.intron.1.of.14)
chr1	26643132	26646951	promoter-TSS.(NM_145345)
chr1	26758107	26760457	intron.(NM_024887,.intron.1.of.8)
chr1	27147328	27147762	Intergenic
chr1	27147851	27147997	Intergenic
chr1	27180205	27180386	exon.(NM_032283,.exon.8.of.8)
chr1	27203583	27204935	Intergenic
chr1	27425475	27426134	non-coding.(NR_046474,.exon.11.of.11)
chr1	27426230	27426917	non-coding.(NR_046474,.exon.11.of.11)
chr1	27462806	27463095	intron.(NM_003047,.intron.1.of.11)
chr1	27463771	27464663	intron.(NM_003047,.intron.1.of.11)
chr1	27477168	27477339	intron.(NM_003047,.intron.1.of.11)
chr1	27487917	27488253	Intergenic
chr1	27579099	27579303	intron.(NM_001276252,.intron.1.of.15)
chr1	27579630	27579867	intron.(NM_001276252,.intron.1.of.15)
chr1	27580064	27580251	intron.(NM_001276252,.intron.1.of.15)
chr1	27675207	27676439	intron.(NM_032872,.intron.6.of.14)
chr1	27682321	27684683	exon.(NM_004672,.exon.24.of.29)
chr1	27729054	27730838	TTS.(NM_001201404)
chr1	27731809	27732029	3'.UTR.(NM_001201404,.exon.8.of.8)
chr1	27743877	27744098	intron.(NM_006990,.intron.4.of.8)
chr1	27744235	27746260	intron.(NM_006990,.intron.3.of.8)
chr1	27746292	27746518	intron.(NM_006990,.intron.2.of.8)
chr1	27759212	27767217	intron.(NM_006990,.intron.1.of.8)
chr1	27768236	27773288	intron.(NM_006990,.intron.1.of.8)
chr1	27804461	27804863	intron.(NM_006990,.intron.1.of.8)
chr1	27804893	27805587	intron.(NM_006990,.intron.1.of.8)
chr1	27807188	27811034	intron.(NM_006990,.intron.1.of.8)
chr1	27825224	27827800	Intergenic
chr1	27847959	27848239	Intergenic
chr1	27882238	27883160	intron.(NM_001029882,.intron.3.of.6)
chr1	27951940	27952152	intron.(NM_005248,.intron.1.of.12)
chr1	27952205	27952503	intron.(NM_005248,.intron.1.of.12)
chr1	27988847	27990138	Intergenic
chr1	27997797	28000103	promoter-TSS.(NM_002038)
chr1	28015276	28017158	Intergenic
chr1	28184808	28185505	Intergenic
chr1	28189365	28189630	Intergenic
chr1	28189926	28190077	Intergenic
chr1	28194998	28197000	Intergenic
chr1	28197889	28206800	intron.(NM_001286113,.intron.1.of.6)
chr1	28208358	28222377	Intergenic
chr1	28237535	28237725	intron.(NM_001297558,.intron.2.of.8)
chr1	28269997	28270291	intron.(NM_001304579,.intron.1.of.7)
chr1	28304506	28307613	intron.(NM_001990,.intron.16.of.17)
chr1	28307741	28308011	intron.(NM_001990,.intron.16.of.17)
chr1	28392651	28392806	intron.(NM_001990,.intron.1.of.17)
chr1	28393910	28394159	intron.(NM_001990,.intron.1.of.17)
chr1	28395511	28399756	intron.(NM_001990,.intron.1.of.17)
chr1	28453249	28453464	Intergenic
chr1	28453825	28455971	Intergenic
chr1	28584728	28587662	5'.UTR.(NM_031459,.exon.1.of.10)
chr1	28736543	28736791	intron.(NM_001048183,.intron.2.of.13)
chr1	28929648	28929840	3'.UTR.(NM_005644,.exon.6.of.6)
chr1	29244514	29244711	intron.(NM_001166006,.intron.1.of.14)
chr1	29299514	29299855	intron.(NM_001166006,.intron.1.of.14)
chr1	29450502	29451863	promoter-TSS.(NM_001003682)
chr1	29494927	29495052	intron.(NM_005626,.intron.1.of.5)
chr1	29844298	29844620	Intergenic
chr1	29867667	29869437	Intergenic
chr1	30123158	30123508	Intergenic
chr1	31255039	31256112	Intergenic
chr1	31482389	31482606	intron.(NM_001020658,.intron.3.of.21)
chr1	31482625	31483996	intron.(NM_001020658,.intron.3.of.21)
chr1	31485635	31487716	intron.(NM_001020658,.intron.3.of.21)
chr1	31635314	31635528	Intergenic
chr1	31904513	31905148	intron.(NM_001199039,.intron.9.of.10)
chr1	31943113	31946313	Intergenic
chr1	31949026	31950807	Intergenic
chr1	31955338	31956326	Intergenic
chr1	32105568	32105816	intron.(NM_012392,.intron.1.of.4)
chr1	32134444	32134693	intron.(NM_001856,.intron.49.of.70)
chr1	32191997	32192716	TTS.(NM_001294336)
chr1	32253020	32255346	Intergenic
chr1	32292458	32293182	Intergenic
chr1	32345508	32346702	Intergenic
chr1	32354649	32355688	Intergenic
chr1	32367747	32368235	Intergenic
chr1	32387693	32388112	intron.(NM_080391,.intron.1.of.5)
chr1	32388260	32388954	intron.(NM_080391,.intron.1.of.5)
chr1	32389139	32391842	intron.(NM_080391,.intron.1.of.5)
chr1	32391872	32393495	intron.(NM_080391,.intron.1.of.5)
chr1	32393857	32406076	intron.(NM_080391,.intron.1.of.5)
chr1	32420582	32421153	Intergenic
chr1	32421302	32421650	Intergenic
chr1	32421696	32422609	Intergenic
chr1	32426849	32427346	Intergenic
chr1	32445342	32448203	Intergenic
chr1	32537364	32540114	intron.(NM_018056,.intron.1.of.8)
chr1	32674915	32675142	TTS.(NM_001160042)
chr1	32718417	32720607	intron.(NM_005356,.intron.1.of.12)
chr1	32720715	32720893	intron.(NM_005356,.intron.1.of.12)
chr1	32721140	32721398	intron.(NM_005356,.intron.1.of.12)
chr1	32721930	32723172	intron.(NM_005356,.intron.1.of.12)
chr1	32786932	32790901	intron.(NM_004964,.intron.3.of.13)
chr1	32986302	32986745	Intergenic
chr1	33237594	33238591	intron.(NM_020888,.intron.6.of.6)
chr1	33335460	33336524	intron.(NM_001171940,.intron.1.of.5)
chr1	33386143	33386355	Intergenic
chr1	33455571	33455828	Intergenic
chr1	33456757	33459570	Intergenic
chr1	33585754	33586012	3'.UTR.(NM_001301825,.exon.9.of.9)
chr1	33817818	33818770	intron.(NR_125978,.intron.1.of.2)
chr1	34517316	34517571	intron.(NM_052896,.intron.2.of.69)
chr1	34629004	34629216	intron.(NM_052896,.intron.1.of.69)
chr1	35652830	35653747	intron.(NM_005066,.intron.7.of.9)
chr1	35829675	35830492	intron.(NM_005095,.intron.5.of.29)
chr1	36080781	36082260	intron.(NM_001199779,.intron.3.of.5)
chr1	36233608	36236240	intron.(NM_022111,.intron.1.of.24)
chr1	36360039	36360288	intron.(NM_012199,.intron.7.of.18)
chr1	36671954	36674306	Intergenic
chr1	36722491	36724160	intron.(NM_005119,.intron.1.of.11)
chr1	36744159	36748044	intron.(NM_005119,.intron.2.of.11)
chr1	36785586	36787446	exon.(NM_001162530,.exon.15.of.16)
chr1	36843312	36843652	intron.(NM_032017,.intron.1.of.11)
chr1	36843664	36844028	intron.(NM_032017,.intron.1.of.11)
chr1	36886537	36886784	intron.(NM_145047,.intron.7.of.9)
chr1	36938007	36938180	intron.(NM_156039,.intron.7.of.16)
chr1	36952393	36952579	Intergenic
chr1	37109185	37109459	Intergenic
chr1	37109767	37109976	Intergenic
chr1	37702447	37705209	Intergenic
chr1	37749203	37749477	Intergenic
chr1	37934696	37936140	intron.(NR_038842,.intron.1.of.2)
chr1	38014729	38016473	intron.(NM_024700,.intron.2.of.3)
chr1	38035465	38037752	intron.(NM_013285,.intron.12.of.15)
chr1	38203567	38205972	intron.(NM_001099439,.intron.5.of.16)
chr1	38217466	38219658	exon.(NM_001099439,.exon.5.of.17)
chr1	38302929	38308333	exon.(NM_005955,.exon.3.of.11)
chr1	38366490	38367699	intron.(NM_005540,.intron.7.of.23)
chr1	38392000	38392246	intron.(NM_005540,.intron.7.of.23)
chr1	38392495	38392637	intron.(NM_005540,.intron.7.of.23)
chr1	38413916	38414584	Intergenic
chr1	38461341	38461749	TTS.(NM_004468)
chr1	38461759	38462048	TTS.(NM_004468)
chr1	38466904	38467230	intron.(NM_004468,.intron.1.of.5)
chr1	38690760	38691019	Intergenic
chr1	39462287	39462509	intron.(NM_024595,.intron.1.of.4)
chr1	39503332	39504893	Intergenic
chr1	39946625	39946796	intron.(NM_012090,.intron.91.of.92)
chr1	39966874	39967135	intron.(NM_181809,.intron.1.of.6)
chr1	39970281	39981938	intron.(NM_181809,.intron.1.of.6)
chr1	40024250	40026260	intron.(NR_003929,.intron.1.of.8)
chr1	40068446	40073312	Intergenic
chr1	40235530	40247748	intron.(NM_001720,.intron.1.of.6)
chr1	40288587	40293261	Intergenic
chr1	40308233	40313160	intron.(NR_132413,.intron.1.of.3)
chr1	40423922	40424146	intron.(NR_109896,.intron.2.of.11)
chr1	40651378	40653074	intron.(NM_012421,.intron.1.of.7)
chr1	40698300	40698748	intron.(NM_012421,.intron.7.of.7)
chr1	40738622	40738888	intron.(NM_005857,.intron.6.of.9)
chr1	40777593	40779069	intron.(NM_001852,.intron.5.of.31)
chr1	40804489	40805309	Intergenic
chr1	40809717	40811198	Intergenic
chr1	40828662	40830840	Intergenic
chr1	40872837	40873116	intron.(NM_001198978,.intron.2.of.9)
chr1	40915404	40917051	promoter-TSS.(NM_023070)
chr1	40973955	40975118	5'.UTR.(NM_022774,.exon.1.of.3)
chr1	40996498	40998234	5'.UTR.(NM_152373,.exon.1.of.5)
chr1	41078051	41078801	Intergenic
chr1	41094325	41094507	intron.(NM_014747,.intron.7.of.7)
chr1	41094595	41094978	intron.(NM_014747,.intron.6.of.7)
chr1	41130266	41132537	promoter-TSS.(NM_014747)
